name,year,miles,price,accidents,Owner,exterior_color,interior_color
BMW 5 Series,2023,14651,44998,0,1,White,Black
Honda Accord,2021,26514,28994,1,1,Gray,Black
Ford Edge,2014,90710,11295,0,2,Red,Unknown
Mercedes-Benz C-Class,2020,25286,26991,0,1,Blue,Beige
Mercedes-Benz GLA,2021,37490,28757,0,1,Black,Black
INFINITI Q50,2019,51091,21333,0,1,White,Gray
Audi A4,2018,50012,23222,1,2,Black,Black
Nissan Kicks,2021,56206,16199,0,1,Gray,Black
Alfa Romeo Giulia,2022,47,28670,0,1,White,Black
Honda Civic,2022,22376,28067,0,1,Black,Black
Toyota Corolla,2021,27730,20194,0,1,White,Black
Subaru Outback,2021,24585,28998,0,1,Black,Beige
Toyota C-HR,2021,26270,23333,0,1,Gray,Black
BMW X3,2015,48155,19998,0,5,White,Unknown
Acura RDX,2018,29848,24998,1,3,Black,Black
Nissan Versa,2020,23906,16998,0,1,Gray,Black
Toyota Camry,2021,35679,22007,0,1,Gray,Black
Land Rover Range Rover Evoque,2020,29921,30989,0,2,Black,Black
Honda Accord,2020,25894,22598,1,1,White,Beige
Toyota Highlander,2022,214,39333,0,1,Blue,Black
Hyundai Tucson,2018,93594,16998,0,1,Gray,Black
Subaru Forester,2017,84165,16500,0,1,Red,Gray
Mercedes-Benz C-Class,2019,16529,28998,1,1,Black,Black
Subaru Forester,2021,52224,24099,0,1,Black,Black
Dodge Challenger,2018,49734,22998,0,2,White,Black
Mercedes-Benz E-Class,2021,13384,40745,0,1,White,White
Land Rover Discovery,2017,55590,21995,1,2,Gray,Black
Ford Edge,2013,98885,9500,0,1,White,Gray
BMW X5,2022,21808,46998,0,1,Gray,Black
Mercedes-Benz GLA,2019,34972,22142,0,2,Black,Black
Jeep Wrangler,2019,67771,25988,0,2,White,Black
Toyota RAV4,2022,44258,24788,0,1,Silver,Unknown
Jaguar F-PACE,2020,42668,26700,0,1,Black,Black
Toyota Camry,2012,96502,14998,2,4,Red,Gray
Volkswagen Beetle,2013,87335,9990,0,1,White,Black
Honda Pilot,2017,42051,29998,0,1,Silver,Black
Chrysler Pacifica,2020,64659,25998,0,1,White,Black
Toyota RAV4,2022,77425,24898,0,1,White,Black
Toyota Yaris iA,2017,72367,10850,0,3,Blue,Black
Land Rover Range Rover Velar,2018,33452,35998,1,2,White,Black
Mazda CX-30,2022,9629,27998,0,2,Gray,Black
Honda Accord,2016,95261,17998,2,2,Black,Black
Mercedes-Benz C-Class,2021,30045,29888,0,1,Silver,Black
Ford Transit Passenger Wagon,2019,47789,49995,0,1,White,Gray
Ford Explorer,2018,47760,22333,0,2,White,Black
Mercedes-Benz GLA,2021,14653,24999,0,3,Black,Black
INFINITI Q60,2014,77173,17998,0,3,White,Gray
Volkswagen Beetle,2013,96672,10927,2,3,Black,Black
BMW 3 Series,2011,127089,7995,1,3,Silver,Black
Toyota Tacoma,2021,21044,33998,0,1,Black,Gray
Chevrolet Silverado 1500,2014,133384,16650,0,1,White,Unknown
Toyota Highlander,2021,64785,29469,0,1,Gray,Black
Dodge Challenger,2019,64587,21449,1,1,Gray,Black
Toyota Corolla,2021,12170,20442,1,1,Silver,Black
Toyota Camry,2015,101711,15998,1,2,Silver,Black
Mercedes-Benz E-Class,2019,41075,26991,1,1,Black,Black
Toyota Corolla,2021,24212,20394,0,1,White,Black
Volvo XC90,2021,17269,48991,0,1,Black,Black
Jeep Gladiator,2021,26311,38987,0,1,Gray,Black
Mazda CX-5,2020,42700,23998,0,1,Red,Beige
Toyota Corolla,2015,30778,14790,1,2,Black,Black
BMW 3 Series,2017,72071,17998,0,2,Black,Black
Land Rover Discovery,2020,62802,24000,0,1,Black,Unknown
Mercedes-Benz C-Class,2023,10109,39776,0,1,Silver,Black
Subaru Outback,2021,14618,28097,0,1,Black,Gray
Toyota Corolla,2021,62665,17000,0,1,Black,Black
Volkswagen Tiguan,2020,46797,20998,0,1,Red,Black
Honda Accord,2018,34889,24400,0,2,Blue,Black
Jaguar XF,2018,38894,22444,0,3,Gray,Beige
BMW X5,2020,33059,37999,0,1,White,Black
Mercedes-Benz GLE,2021,33257,39591,0,1,Silver,Beige
Mercedes-Benz GLB,2023,3518,43139,0,1,White,Beige
Kia Soul,2022,33047,16988,0,1,White,Black
Chevrolet Silverado 1500,2018,50079,24777,0,4,White,Black
Toyota Sienna,2020,10093,35666,1,1,Silver,Black
Mercedes-Benz C-Class,2018,55367,24166,0,2,White,Black
Chevrolet Malibu,2022,41386,19998,1,1,Silver,Black
Audi Q7,2023,2738,53155,0,1,Black,Black
Volkswagen Tiguan,2021,28914,18993,0,1,White,Black
Ford Explorer,2022,28520,26800,0,1,White,Black
Nissan Versa,2021,62103,15641,0,1,Blue,Gray
Land Rover Range Rover,2011,109040,13995,0,3,Gray,Black
Mercedes-Benz E-Class,2021,15900,36591,0,1,Red,Beige
Ford Explorer,2020,44609,24595,1,2,Black,Black
