name,year,miles,price,accidents,Owner,exterior_color,interior_color
Hyundai Sonata,2015,96880,13998,1,1,Silver,Gray
Nissan Altima,2019,88155,14450,0,3,White,Black
Toyota Corolla,2021,7500,21222,0,1,Red,Black
Honda Odyssey,2015,124418,18998,0,2,Gray,Gray
Toyota Camry,2020,43228,20483,0,1,Silver,Black
Audi A6,2023,5801,47998,0,1,Gray,Black
Chevrolet Silverado 1500,2016,93925,26988,0,2,White,Black
Ford Explorer Sport Trac,2009,180254,7995,0,7,Black,Black
Lexus IS,2017,51201,25998,0,4,Gray,Black
BMW X3,2021,26725,28888,0,1,Black,Black
Mercedes-Benz C-Class,2015,81970,14495,2,3,White,Unknown
Honda Civic,2019,39515,19770,1,1,Gray,Gray
Honda Odyssey,2019,49419,26581,0,3,Silver,Brown
Honda Accord,2022,29649,24799,0,1,Silver,Black
Nissan Altima,2014,129009,8895,1,2,White,Black
Subaru Outback,2021,14417,27998,0,1,Red,Gray
Honda Odyssey,2014,112998,15998,1,2,Gray,Gray
Genesis G80,2022,19964,37449,0,1,Silver,Black
Ford Focus,2014,105879,7798,1,3,Red,White
Chevrolet Suburban,2015,225260,12999,3,1,Black,Black
Toyota Corolla,2011,93687,8500,1,1,Black,Gray
Volkswagen Tiguan,2019,47154,19998,0,2,White,Gray
Kia Optima,2018,59244,12900,1,2,White,Beige
Lexus RX,2023,25442,47991,0,1,Black,Beige
Subaru Forester,2021,10044,26986,0,1,Silver,Black
Honda Accord,2021,20810,27998,0,2,Silver,Black
Hyundai Sonata,2012,109989,11998,0,3,Black,Gray
Jeep Wrangler,2015,105409,18999,0,3,White,Black
Kia Optima,2013,112562,8495,0,3,Black,Beige
Chevrolet Camaro,2014,103796,9499,0,1,Black,Black
Mercedes-Benz C-Class,2023,5761,54991,0,1,Blue,Black
Ford EcoSport,2018,49941,13977,0,2,Red,Black
Honda Accord,2020,36197,22991,1,2,Black,Black
Ram 1500,2020,42603,30998,0,1,Gray,Black
Chevrolet Trailblazer,2021,12301,18200,0,1,White,Black
Volkswagen Tiguan,2020,39395,18500,0,1,White,Black
Mercedes-Benz GLA,2018,79753,16500,0,4,Black,Black
Subaru Outback,2021,19989,25800,0,2,Green,Gray
Kia Forte,2021,26840,17449,0,1,Gray,Black
Toyota Corolla,2022,4514,20683,0,1,Gray,Gray
FIAT 500,2014,82005,6995,1,4,Silver,Black
Toyota Tacoma,2019,59252,29995,0,1,Gray,Unknown
Subaru Outback,2023,4980,35900,0,1,White,Beige
Nissan Maxima,2018,33292,18450,1,3,Gray,Black
Toyota Tacoma,2022,36648,38900,0,2,Black,Black
BMW 3 Series,2018,44001,20999,0,3,Black,Black
Ford F-150,2018,75393,33800,0,1,Silver,Gray
Mercedes-Benz GLB,2021,19333,32094,1,1,Black,Black
Chevrolet Equinox,2021,12663,20777,0,1,White,Gray
Mercedes-Benz A-Class,2019,28010,25440,2,2,Silver,Black
Audi RS 5,2021,9215,66900,0,2,Gray,Black
Mercedes-Benz G-Class,2014,92498,62999,2,4,Black,Gray
Kia Optima,2015,146100,7500,0,3,Black,Beige
Mercedes-Benz GLB,2023,5791,42400,0,1,Black,Black
Ford F-150,2020,111937,16975,0,1,White,Blue
Audi Q7,2023,6411,54980,0,1,White,Black
BMW 3 Series,2020,42725,24198,0,1,Black,Black
Audi Q5,2023,1581,37989,0,1,Black,Black
Lexus LX,2021,40076,67998,0,1,White,Red
Nissan Altima,2012,115439,4395,0,7,Silver,Black
INFINITI QX55,2023,6869,37988,0,1,Gray,Gray
MINI Countryman,2012,100025,8995,0,1,Gray,Black
Jeep Cherokee,2020,63703,18991,0,2,White,Black
Kia Sportage,2021,26871,17800,0,1,Red,Gray
Ford Super Duty F-250,2020,93819,24985,0,1,White,Gray
Mazda CX-9,2021,38324,28691,1,1,Gray,Red
Mercedes-Benz GLE,2021,44380,43829,0,1,Black,Black
Mercedes-Benz S-Class,2014,124184,21777,1,3,White,Black
Acura MDX,2015,109270,16998,0,2,White,Unknown
Ford F-150,2020,36590,33998,0,1,Gray,Gray
Mazda CX-5,2022,6242,28891,1,1,Red,Black
Dodge Charger,2019,71018,20959,0,3,Black,Black
Mazda CX-5,2023,8470,32998,0,1,Blue,Beige
Audi Q5,2020,13984,33888,0,1,White,Beige
Alfa Romeo Stelvio,2022,68,30460,0,1,White,Black
Land Rover Range Rover,2018,45880,46999,0,2,Black,Gray
Jeep Wrangler,2019,47368,34998,0,3,Black,Black
INFINITI Q50,2020,55039,22597,1,2,Black,Gray
Chevrolet Cruze,2018,95458,10995,0,2,Silver,Black
Cadillac XT4,2020,19490,27995,0,1,White,Red
Lexus IS,2010,122850,12991,0,3,Gray,Beige
Honda Civic,2022,51155,22500,0,1,Gray,Black
Subaru Impreza,2019,35495,18999,0,1,Black,Black
Volkswagen Jetta,2013,112519,6950,1,2,Silver,Black
Volkswagen Jetta,2015,91736,8995,1,4,Black,Black
Subaru Forester,2021,24454,26555,0,1,Green,Gray
Subaru Forester,2023,6290,33500,0,1,Silver,Black
Nissan Sentra,2021,9892,20998,0,1,White,Black
Toyota Corolla,2021,80771,17495,1,1,Blue,Black
Alfa Romeo Giulia,2022,46,30542,0,1,White,Black
Toyota Corolla,2011,101056,9991,0,2,White,Gray
GMC Acadia,2019,62813,19500,1,1,Black,Black
Toyota RAV4,2020,43497,24991,0,1,White,Black
Toyota Corolla,2021,9762,22953,1,1,Gray,Black
Mercedes-Benz C-Class,2021,15526,54499,0,2,Black,Black
Toyota RAV4,2021,40149,30999,0,1,White,Black
Toyota RAV4,2021,27228,26794,0,2,White,Black
Mazda Mazda3,2019,13488,23074,0,1,Gray,Gray
Subaru Forester,2021,26650,28649,0,1,Gray,Black
Honda Civic,2021,53505,19995,2,1,Blue,Unknown
BMW X7,2021,21385,57997,0,1,White,Black
Chevrolet Silverado 1500 LTD,2022,41168,22488,0,1,White,Black
Mercedes-Benz CLA,2023,4086,39777,1,1,Black,Black
Audi RS 5,2015,57150,33919,0,3,Black,Black
Ford Escape,2019,10838,20445,0,2,Gray,Black
Volkswagen Routan,2010,135880,5995,2,2,Black,Unknown
Toyota Sienna,2021,44459,37895,1,1,Silver,Gray
Buick Encore,2019,21872,19998,0,2,White,Gray
BMW X5,2020,68463,43598,0,2,Blue,Black
Alfa Romeo Giulia,2022,51,30541,0,1,Red,Black
Porsche Cayman,2006,70805,26919,0,2,White,Unknown
Chrysler Town & Country,2016,51756,18998,2,2,Silver,Black
Toyota RAV4,2021,23800,29333,0,1,Red,Black
Volkswagen Tiguan,2020,34893,17994,0,1,Black,Black
Toyota Corolla,2021,64606,15995,0,1,Red,Black
Toyota Camry,2021,41792,27081,0,1,Black,Black
Toyota Prius,2013,147350,11200,0,1,Black,Black
Mercedes-Benz E-Class,2021,9624,42892,0,1,Red,Beige
GMC Sierra 1500,2022,9641,70988,0,2,Black,White
Toyota Corolla,2014,106575,10999,0,1,Black,Gray
Acura RDX,2021,43115,31968,0,1,Red,Black
Ford Escape,2017,114000,8490,1,2,Gold,Black
Audi A3,2023,1529,32995,0,1,Blue,Black
Ram 1500,2020,25736,35998,0,1,Black,Black
Toyota Prius v,2013,98042,11600,1,1,Silver,Gray
Ford Explorer,2021,19369,32998,0,1,Gray,Black
Maserati GranTurismo,2010,26107,28965,2,3,Black,Black
Toyota RAV4,2018,54264,19555,2,1,White,Black
Jeep Wrangler,2013,117038,20495,0,2,Black,Black
Honda CR-V,2015,104728,15891,0,4,White,Unknown
Ford Fiesta,2016,68742,7500,0,3,Black,Black
Chevrolet Malibu,2022,35410,19998,0,1,Gray,Gray
BMW X1,2021,14422,26496,0,2,Gray,Black
Chevrolet Silverado 1500,2016,103207,21995,0,2,White,Black
Cadillac Escalade,2022,16010,99995,0,1,White,Black
Mercedes-Benz GLC,2021,22734,31990,1,1,Black,Black
Chevrolet Silverado 1500,2020,34545,37888,0,1,Black,Black
Lexus ES,2022,14130,35821,0,1,White,Black
Ford Escape,2017,76901,13499,2,2,Black,Black
Audi A5,2023,1751,46286,0,1,White,Black
Mercedes-Benz A-Class,2020,23107,26510,0,1,Silver,Black
Ford Explorer,2021,17302,32998,0,1,Black,Unknown
Chevrolet Malibu,2022,30824,19999,0,1,Gray,Black
Acura MDX,2017,20095,31998,0,1,White,Black
Mercedes-Benz S-Class,2015,54555,33998,1,3,Blue,Gray
Chevrolet Trax,2020,21421,19998,1,2,White,Black
Dodge Challenger,2019,54568,21998,0,1,White,Black
Chevrolet Malibu,2022,36231,19998,0,1,Silver,Black
Volkswagen Jetta,2014,90795,14998,1,2,Black,Black
Subaru Outback,2021,18667,27998,0,1,Black,Gray
Chevrolet Equinox,2013,50621,15998,0,3,Gray,Gray
Nissan Versa,2021,61250,15891,0,1,Gray,Gray
Audi Q7,2019,25687,33998,2,1,Black,Black
Toyota Highlander,2021,24754,32797,0,1,Gray,Black
Subaru Crosstrek,2024,5020,30998,0,1,Black,Black
BMW 5 Series,2019,41249,25999,0,1,Black,Black
Honda Civic,2020,18548,19995,0,1,White,Unknown
Mercedes-Benz C-Class,2021,29334,30592,0,1,Black,Black
Acura MDX,2020,39968,26789,0,1,White,Beige
Nissan Altima,2022,30074,17799,0,1,Gray,Black
Ford Escape,2021,34484,16540,0,2,White,Gray
Mercedes-Benz GLB,2023,8591,37777,0,1,Gray,Black
Toyota Camry,2022,35848,23993,0,1,Red,Gray
Mercedes-Benz CLA,2021,22778,26999,0,1,Black,Black
Mercedes-Benz GLC,2019,23268,32998,1,3,Blue,Unknown
BMW 3 Series,2021,28852,28999,0,1,White,Black
Chevrolet Malibu,2021,62149,18554,0,1,Red,Black
Toyota RAV4,2021,38305,25381,0,1,Black,Gray
Hyundai Genesis,2016,58912,18998,0,1,Silver,Gray
Audi A4,2018,60428,19399,0,2,Silver,Black
Nissan Altima,2020,58459,19998,1,4,Gray,Black
Mercedes-Benz GLC,2021,9573,34421,0,1,Gray,Gray
Volkswagen Tiguan,2020,23484,19777,0,1,Gray,Black
Chevrolet Equinox,2016,41207,18998,1,2,Black,Black
BMW X3,2022,40474,30998,0,1,White,Unknown
Audi A3,2023,1350,33995,0,1,Black,Black
MINI Countryman,2018,70844,21998,0,2,Blue,Black
Audi A3,2023,2717,33500,0,1,Black,Black
Volkswagen Jetta,2019,43481,17998,0,2,White,Black
Subaru Forester,2021,46578,21388,0,1,Blue,Gray
Kia Optima,2018,137615,8499,1,2,Black,Black
Subaru Outback,2020,24615,29239,0,1,Gray,Brown
Honda Pilot,2020,47973,27500,0,1,Silver,Black
Mercedes-Benz GLE,2021,36225,42997,0,1,Gray,Black
Toyota Tundra,2017,78171,32998,2,2,Black,Gray
Nissan Murano,2018,94426,13987,0,4,Silver,Gray
Mazda Mazda3,2020,26137,23333,0,1,Red,Black
Porsche 911,2008,43698,58727,0,1,Black,Black
Jaguar F-PACE,2019,60812,19349,1,1,White,Black
Mercedes-Benz S-Class,2007,94629,9999,0,3,Unknown,Unknown
Toyota Corolla,2020,23460,20495,0,1,White,Gray
Honda Civic,2018,84732,16500,0,3,Black,Black
Mercedes-Benz GLB,2023,7111,41061,0,1,Blue,Beige
Mercedes-Benz E-Class,2021,28450,37968,0,1,Black,Black
Chevrolet Tahoe,2021,63335,41500,0,1,Black,Black
Hyundai Tucson,2019,50496,18998,0,2,Blue,Black
Toyota Corolla,2021,43589,19693,0,1,Black,Gray
Hyundai Santa Fe,2020,27814,20987,0,1,Silver,Black
Toyota Corolla,2021,64916,18694,0,1,Black,Black
Alfa Romeo Stelvio,2022,88,30459,0,1,Gray,Black
Kia Forte,2019,53113,15695,0,1,Gray,Black
Mercedes-Benz C-Class,2015,132700,12295,0,4,Gray,Unknown
Acura MDX,2020,18666,29896,0,1,White,Black
Chevrolet Malibu,2020,80174,14995,1,2,Silver,Black
Land Rover Discovery Sport,2016,86246,12995,0,4,Black,Black
Chevrolet Tahoe,2016,96825,26987,0,2,Black,Black
Audi A5,2023,3037,39232,0,1,Black,Black
BMW X3,2021,29388,29999,0,1,White,Black
Honda Civic,2020,16589,20565,0,1,Silver,Black
Mercedes-Benz GLE,2021,29428,39998,1,1,White,Black
Honda Pilot,2023,5562,50222,0,1,Black,Black
Audi A4,2023,564,35500,0,1,Black,Black
Honda Accord,2021,52184,28485,0,1,Gray,Unknown
Ford Fusion,2012,98474,7995,0,1,Blue,Gray
Jeep Wrangler,2018,52098,24910,0,1,Black,Black
Mercedes-Benz GLC,2021,7234,31933,0,1,White,Beige
GMC Yukon,2011,157099,9999,0,3,Black,Black
Toyota Corolla,2020,28547,20614,0,1,White,Black
Nissan Sentra,2023,766,20897,0,1,Black,Black
Audi Q5,2013,115118,11995,1,3,Gray,Black
Mazda Mazda6,2016,57157,15995,0,1,Blue,Black
Toyota RAV4,2021,19768,35999,0,1,Black,Gray
BMW 3 Series,2016,50360,17450,0,3,Black,Red
Volkswagen Jetta,2020,53724,16790,1,1,White,Black
Nissan Kicks,2020,27213,16886,0,2,Red,Black
Honda Civic,2019,31114,21998,0,2,Black,Black
Mazda CX-5,2021,12662,26691,0,1,Red,Black
Ford Explorer,2016,54407,23896,1,2,Gray,Gray
Karma Revero GT,2020,7685,63728,0,1,Black,Black
Mercedes-Benz GLB,2023,7842,39999,0,1,Black,Gray
Kia K5,2022,35452,23000,0,1,White,Black
Subaru Forester,2014,103854,12495,1,2,White,Gray
Nissan Sentra,2019,50110,16998,0,2,White,Black
Audi Q5,2018,43865,19992,1,2,Blue,Black
BMW 4 Series,2016,79607,15777,0,0,Black,Black
Chevrolet Cruze,2018,70218,13200,1,1,Black,Black
Mazda CX-9,2015,81726,16998,0,2,Gray,Black
BMW X3,2020,66846,20996,0,1,Black,Black
Ford Fusion,2014,133890,7495,0,3,Silver,Black
Chevrolet Traverse,2019,31111,27999,0,1,Gray,Black
Mercedes-Benz SLC,2017,57090,22500,1,3,Black,Red
Toyota RAV4,2021,25326,27998,1,1,White,Black
Kia Sportage,2021,20863,18441,0,1,Gray,Gray
Dodge Charger,2022,20507,24988,0,1,Black,Black
Alfa Romeo Giulia,2022,55,30541,0,1,Black,Black
Honda Accord,2021,35759,24899,0,1,White,Beige
Toyota Camry,2019,64053,21998,1,2,White,Black
INFINITI Q50,2014,31757,22998,0,2,Gray,Gray
Ford Escape,2014,84574,13795,1,2,Black,Black
Chevrolet Silverado 1500,2017,64185,30300,3,1,White,Black
Toyota Camry,2021,25826,20995,0,1,Blue,Black
Nissan Rogue,2020,87596,12777,0,3,Gray,Black
Mercedes-Benz A-Class,2019,29934,25899,0,1,Black,Black
BMW X3,2021,24094,29456,0,1,Gray,Black
Audi Q7,2023,2403,54664,0,1,Black,Black
GMC Yukon,2021,41662,60782,0,1,Gray,Brown
Lexus RX,2020,23942,35998,0,1,Black,Unknown
Toyota RAV4,2021,18448,35998,0,2,Black,Black
Mazda Mazda3,2016,37810,18998,0,2,Blue,Black
Hyundai Santa Fe,2021,39099,23998,1,1,Blue,Black
Toyota Tundra,2014,57738,33998,2,3,Black,Brown
BMW X1,2018,55265,21998,1,2,White,Black
Lexus ES,2021,21289,37998,0,1,White,Unknown
Audi Q5,2021,40208,36998,0,1,Black,Black
Ford F-150,2020,64447,31998,1,2,Black,Gray
Jeep Wrangler,2018,56425,21920,0,1,White,Black
Mazda CX-30,2022,29308,24750,0,1,Gray,Black
Alfa Romeo Stelvio,2022,85,35488,0,1,Black,Black
Hyundai Elantra,2017,104050,12998,2,2,Gray,Gray
Honda Accord,2021,49141,26035,0,1,White,Beige
Chevrolet Silverado 1500,2019,76920,31998,1,2,Black,Black
Ford Fusion,2020,12733,20995,0,1,White,Black
Mercedes-Benz GLE,2021,27163,41433,0,1,Black,Black
Mercedes-Benz GLE,2022,26766,50723,0,1,Black,Black
Honda Civic,2021,41190,21999,0,1,Gray,Black
Kia Forte,2021,9443,17995,0,1,Red,Black
Toyota Sienna,2017,92197,22998,0,3,Black,Gray
Ford Explorer,2016,91885,15995,0,3,Black,Black
Mercedes-Benz C-Class,2023,4508,57363,0,1,White,White
Subaru Outback,2017,51853,22158,0,1,Blue,Brown
BMW 3 Series,2017,59572,18999,0,3,White,Brown
Kia Forte,2015,67246,9990,1,1,Gray,Gray
Toyota RAV4,2021,33118,28194,0,1,Silver,Black
Hyundai Elantra,2020,60791,14088,0,1,Black,Gray
Audi Q7,2021,38785,42998,0,1,Tan,Black
Mercedes-Benz S-Class,2019,48491,49499,0,1,Silver,Black
Mercedes-Benz A-Class,2021,34576,26510,0,3,Blue,Black
Honda Civic,2017,94751,16998,0,1,White,Unknown
Acura MDX,2014,76699,16449,0,1,Gray,Unknown
Chevrolet Equinox,2020,26267,23777,0,1,White,Black
Land Rover Range Rover Evoque,2019,45704,24499,1,3,White,Black
Subaru Ascent,2021,55635,24988,0,1,Gray,Gray
INFINITI QX60,2018,63000,19988,0,2,Gray,Brown
Lexus RX,2015,59705,19999,2,2,Gray,Black
BMW 2 Series,2016,97076,12987,1,2,Gray,Red
Volkswagen Tiguan,2021,6994,20894,0,1,White,Black
Chevrolet Silverado 1500,2020,67465,31998,1,1,White,Black
Ford Escape,2009,96991,7900,0,2,White,Unknown
Jeep Wrangler,2022,23799,42998,0,1,White,Brown
Mercedes-Benz GLB,2021,21591,30896,0,1,White,Black
BMW 4 Series,2016,85987,19994,0,2,Black,Black
Volkswagen Tiguan,2020,16789,20777,0,1,Black,Gray
Honda Crosstour,2013,75935,11798,0,2,Silver,Black
Kia Seltos,2021,43244,20100,0,1,White,Black
Jeep Wrangler,2022,18815,45271,0,1,White,Black
Hyundai Tucson,2022,18493,22500,0,1,Black,Black
Mercedes-Benz GLC,2019,19494,27998,0,2,Gray,Black
BMW 3 Series,2011,93632,7500,0,4,Gray,Gray
Mercedes-Benz GLA,2015,71278,13987,1,2,Black,Beige
Ford F-150,2020,47109,31998,1,1,Black,Black
Ford Fiesta,2015,85972,6900,0,1,Black,Black
Mercedes-Benz C-Class,2020,25532,47000,0,2,White,Black
Chevrolet Camaro,2020,80497,30987,1,3,White,Black
Kia Forte,2022,29105,16999,1,1,Gray,Black
Lexus NX,2021,34218,28250,0,1,White,Beige
Nissan Sentra,2022,8554,21988,0,1,White,Black
Audi A3,2023,2266,32995,0,1,Black,Black
Kia K5,2022,18696,26991,0,1,White,Black
Mercedes-Benz GLE,2021,22944,47157,0,1,Blue,Black
Audi A3,2023,2521,32995,0,1,Black,Black
Kia Soul,2020,66114,13900,0,1,Gray,Black
Audi Q7,2019,26958,29998,0,1,Gray,Beige
Mercedes-Benz C-Class,2019,37366,25262,0,2,Black,Black
Mercedes-Benz GLB,2020,31656,27990,0,1,Unknown,Black
Kia Optima,2020,71000,16900,0,1,Gray,Black
Chevrolet Silverado 1500,2018,61608,30549,0,1,Gray,Black
Cadillac XT4,2020,16804,27995,0,1,Black,Black
Mercedes-Benz CLS,2019,23351,43895,0,1,White,Black
Ford F-150,2023,2816,80000,0,2,Gray,Black
Toyota Corolla,2010,151649,5680,1,3,Black,Gray
Subaru Forester,2020,22828,26500,0,1,Black,Gray
Hyundai Elantra,2018,40223,12999,0,3,Silver,Gray
Mercedes-Benz GLC,2021,29755,29933,0,1,Gray,Beige
Nissan Sentra,2020,18122,18954,0,1,Blue,Black
Toyota Camry,2021,20182,22995,1,1,Gray,Black
Honda Odyssey,2013,97773,17998,0,1,Gray,Gray
Mercedes-Benz S-Class,2016,39327,48919,1,2,Black,Black
Hyundai Sonata,2016,88567,15998,0,1,Black,Black
Volkswagen Tiguan,2022,7139,26399,0,1,White,Black
Ford Transit Cargo Van,2021,22280,32998,0,1,White,Black
Honda Civic,2022,8100,24991,0,1,White,Black
Audi A5,2020,39232,33998,2,1,White,Black
Nissan Sentra,2019,37152,13799,0,1,White,Black
Ford Escape,2020,63973,17495,0,2,White,Beige
MINI Clubman,2017,24293,19222,1,1,Red,Gray
Kia Optima,2020,55640,14988,0,2,Gray,Black
Maserati Levante,2021,30972,41775,0,1,White,Brown
Subaru Forester,2023,4148,27000,0,1,Green,Gray
Volvo XC90,2021,36858,43361,0,1,Black,Unknown
Kia Optima,2014,78962,12495,1,2,Black,Black
BMW 2 Series,2016,90179,20419,0,3,Silver,Black
Toyota Corolla,2014,128302,10500,1,2,White,Gray
BMW X3,2022,7590,36999,0,1,Gray,Brown
Dodge Journey,2017,94402,9998,2,1,Blue,Black
Ford F-150,2019,91274,29980,0,1,White,Brown
Volkswagen Tiguan,2021,37798,22454,1,1,Silver,Black
Kia Optima,2020,63028,12471,0,1,Gray,Black
Mercedes-Benz S-Class,2015,95921,35999,0,2,White,Brown
Mercedes-Benz E-Class,2022,12705,46713,0,1,White,Gray
Kia Optima,2014,123058,6995,3,3,Black,Gray
Porsche 718 Cayman,2018,54169,48919,0,2,Black,Black
Hyundai Elantra,2018,39023,12995,2,1,Gray,Black
Honda CR-V,2018,44533,21998,0,1,Black,Black
Honda Accord,2022,18068,22988,0,1,Silver,Unknown
Nissan Altima,2020,70188,18300,0,2,Silver,Black
Mercedes-Benz S-Class,2007,148602,9542,0,3,Black,Black
Toyota Corolla,2023,20235,19999,0,1,Black,Black
Acura MDX,2020,42610,28987,0,1,Silver,Black
Mercedes-Benz GLS,2019,58536,35991,0,2,Black,Brown
Ford Expedition,2020,6530,50197,0,1,Black,Black
Volkswagen Atlas,2018,68069,21998,0,4,Silver,Black
Ford Escape,2010,148988,7495,2,4,White,Gray
Toyota C-HR,2019,70631,16220,1,2,Gray,Black
Dodge Grand Caravan,2015,152597,5999,1,3,White,Black
Honda Civic,2022,29703,22999,1,1,Silver,Black
Mercedes-Benz GLB,2022,27692,34020,0,1,Black,Black
Chevrolet Equinox,2020,24023,24998,0,1,White,Black
Honda CR-V,2023,1844,33688,0,1,White,Black
BMW X3,2022,11987,36999,1,1,White,Black
INFINITI QX50,2020,16111,29998,0,1,Black,Gray
Mercedes-Benz GLA,2021,23533,30678,0,1,White,Black
Toyota Camry,2012,110441,10880,0,5,White,Gray
BMW X3,2021,31326,30411,0,1,Gray,Beige
Ford F-150,2018,157394,17995,0,3,Gray,Gray
Ford Escape,2018,32704,13987,0,2,White,Black
Acura MDX,2016,109937,18998,0,3,White,Unknown
Honda Civic,2020,19869,20469,0,1,White,Unknown
Kia K5,2021,38512,25998,0,1,Silver,Black
Acura RDX,2014,105118,16998,2,1,Black,Black
Honda Pilot,2017,81643,19495,0,1,White,Unknown
Volvo XC40,2021,19237,34423,0,1,Gray,Black
Audi Q3,2019,63070,17500,0,1,Black,Black
Land Rover Range Rover Sport,2014,84884,22995,0,1,White,White
Jeep Wrangler,2016,90149,19999,0,4,Blue,Black
BMW X5,2022,14078,44997,0,1,Gray,Brown
Lexus NX,2019,37294,28300,0,1,Unknown,Black
Subaru Forester,2023,1935,32918,0,1,Brown,Black
Mercedes-Benz E-Class,2013,34678,20998,0,2,Gray,Black
Volkswagen Golf GTI,2014,100630,10798,0,1,White,Black
Scion tC,2015,144366,7499,0,2,Gray,Black
Hyundai Santa Fe,2020,24134,20998,0,1,Gray,Black
Subaru Outback,2022,6967,30000,0,1,Gray,Gray
BMW X1,2015,25104,19998,0,3,White,Black
Subaru Crosstrek,2024,1535,25992,0,1,Blue,Gray
Jaguar E-PACE,2019,33270,24000,0,2,White,Unknown
Land Rover Defender,2022,46567,62887,0,1,White,Black
Kia Optima,2020,103766,9950,0,2,Gray,Black
Nissan Altima,2020,40172,21991,0,1,White,Black
Mercedes-Benz CLK,2007,104809,8895,1,4,Silver,Black
Hyundai Elantra,2020,23960,15779,0,2,Gray,Black
Ram 1500,2020,8924,33998,0,1,Black,Black
BMW X3,2020,30012,25991,2,1,Black,Black
Toyota Corolla,2021,61537,17988,0,1,Unknown,Black
Honda Odyssey,2021,20336,35448,1,1,Silver,Gray
Toyota Prius Prime,2017,48119,23222,0,1,Silver,Black
Nissan Sentra,2022,7296,18999,0,1,Gray,Black
Acura RDX,2013,98716,11999,0,2,White,Unknown
Toyota Corolla,2021,14875,21998,0,2,White,Black
Toyota Prius,2016,66828,20998,1,2,White,Gray
Audi A6,2017,71003,15999,1,2,Blue,Brown
Nissan Sentra,2020,38340,17400,0,2,White,Black
Toyota GR Supra,2023,6023,57444,0,1,Yellow,Black
Chevrolet Tahoe,2017,63539,25500,1,1,Black,Black
Chevrolet Silverado 1500,2020,9949,33988,0,1,Black,Black
Honda Accord,2021,40604,29998,0,2,White,Gray
Toyota Tacoma,2023,8074,42991,0,1,White,Gray
Land Rover Range Rover,2015,89338,24900,0,1,Black,Black
Alfa Romeo Stelvio,2022,65,35663,0,1,Black,Black
Kia Forte,2021,52646,16991,0,1,Red,Black
McLaren 720S,2018,8652,219999,0,3,White,Unknown
Ford Explorer,2021,47507,29998,0,1,Gray,Black
Volkswagen Tiguan,2021,25185,21912,0,1,White,Black
Honda Odyssey,2018,75932,25998,1,2,Gray,Gray
Chevrolet Colorado,2016,93420,18991,1,2,Black,Black
Mercedes-Benz GLA,2021,27219,29997,0,1,White,Black
Mercedes-Benz C-Class,2016,127746,11990,0,2,Black,Black
Chevrolet Cruze Limited,2016,86047,12998,0,2,White,Black
Hyundai Elantra,2022,18554,22998,0,2,Black,Black
Mercedes-Benz C-Class,2018,36871,22998,2,3,Blue,Gray
INFINITI Q70,2015,77258,18998,0,2,White,Brown
Acura Integra,2023,3477,34998,0,1,Blue,Gray
Jaguar F-PACE,2020,33202,34998,0,1,Gray,Black
Nissan Rogue,2018,62713,18998,0,2,Blue,Black
Audi A3,2023,2195,32995,0,1,Black,Black
Mercedes-Benz E-Class,2022,11988,43563,0,1,Red,Beige
Nissan Sentra,2023,10269,19859,0,1,Silver,Black
Volkswagen Jetta,2021,37147,18782,0,1,Gray,Black
Chevrolet Malibu,2020,26610,20998,0,1,White,Gray
Subaru Forester,2020,50162,23998,0,1,Silver,Black
Kia K5,2021,34764,22998,0,1,White,Black
Toyota Prius,2015,125159,13995,0,3,Gray,Gray
Nissan Altima,2015,46189,15998,1,1,Black,Beige
Toyota Prius,2022,45722,22690,0,1,Black,Black
Ford Escape,2017,82219,11245,0,1,White,Black
Jeep Wrangler,2019,30170,29998,0,1,White,Black
Jeep Wrangler,2018,51323,29998,0,2,Black,Black
Honda Civic,2020,36303,18995,0,1,Unknown,Unknown
Lexus NX,2021,26525,30998,0,1,White,Black
Audi A3,2015,70811,14895,1,2,Black,Black
Nissan Sentra,2020,95604,13988,0,1,Gray,Black
Ford Taurus,2010,167599,5998,0,2,White,Gray
Nissan Quest,2015,90699,9995,1,2,White,Gray
Mercedes-Benz GLA,2021,31230,26933,0,1,Black,Black
Honda Accord,2021,18949,26489,0,1,White,Black
Toyota Highlander,2012,93113,16998,0,1,Silver,Gray
Hyundai Tucson,2022,32353,22998,1,1,Black,Black
Subaru Outback,2023,6283,35900,0,1,White,Beige
Volvo S90,2022,2304,42191,0,1,Black,Black
BMW X5,2022,33541,43379,0,1,Gray,Beige
Honda Accord,2022,20280,26994,0,1,White,Unknown
Chevrolet Trailblazer,2023,7911,20989,0,1,Black,Black
BMW 5 Series,2023,6321,51187,0,1,White,Black
Toyota RAV4,2021,36489,28994,1,1,Blue,Black
Dodge Challenger,2015,85799,19200,4,3,Black,Black
BMW 5 Series,2023,5533,52292,0,1,White,Brown
Mercedes-Benz GLB,2021,18498,32415,0,1,Black,Black
Lexus UX,2021,12144,27991,0,1,White,Brown
Audi Q5,2022,8997,33956,0,1,Silver,Black
Ram 1500,2015,100521,22998,0,2,Silver,Gray
Ford Ranger,2019,69689,23400,0,2,Blue,Black
Chevrolet Monte Carlo,2006,83089,9500,0,5,Silver,Gray
Mercedes-Benz E-Class,2011,74911,15850,0,3,Gray,Black
Mercedes-Benz GLE,2020,55376,36998,0,1,White,Black
Ford Mustang,2018,9452,58495,0,3,White,Black
BMW X7,2021,23145,70498,0,1,White,Black
